order_id,order_date,customer_id,product_id,quantity,requested_delivery_date,order_status,sales_owner,related_issue_id
ORD-00001,2025-08-08,CUS-005,AP-CB-510,3979,2025-09-14,Closed,이민재,ISS-2025-009
ORD-00002,2026-04-04,CUS-001,AP-TM-118,569,2026-04-29,Shipped,박서연,ISS-2026-002
ORD-00003,2025-06-03,CUS-002,AP-CN-204,2944,2025-07-02,Delayed,정하늘,ISS-2025-006
ORD-00004,2026-01-23,CUS-002,AP-CN-204,3078,2026-03-03,Delayed,이민재,ISS-2026-008
ORD-00005,2026-02-01,CUS-003,AP-SC-330,5394,2026-02-09,Delayed,정하늘,ISS-2026-003
ORD-00006,2025-06-21,CUS-004,AP-RL-450,2510,2025-07-06,Closed,이민재,ISS-2025-012
ORD-00007,2026-02-06,CUS-002,AP-CN-204,2735,2026-03-05,Closed,이민재,ISS-2026-004
ORD-00008,2025-10-08,CUS-001,AP-WH-220,5718,2025-11-03,Shipped,정하늘,ISS-2025-008
ORD-00009,2025-10-19,CUS-003,AP-SC-330,4612,2025-11-02,Delayed,박서연,ISS-2025-011
ORD-00010,2026-02-26,CUS-001,AP-TM-118,5486,2026-04-01,Closed,정하늘,ISS-2026-002
ORD-00011,2025-07-04,CUS-003,AP-SC-330,3090,2025-08-14,Closed,이민재,ISS-2025-014
ORD-00012,2025-07-15,CUS-003,AP-SC-330,3059,2025-08-11,Closed,박서연,ISS-2025-014
ORD-00013,2025-09-08,CUS-003,AP-SC-330,4663,2025-10-06,Delayed,박서연,ISS-2025-011
ORD-00014,2026-02-01,CUS-003,AP-SC-330,1033,2026-02-25,Confirmed,정하늘,ISS-2026-003
ORD-00015,2025-11-14,CUS-002,AP-CN-204,820,2025-12-19,Shipped,이민재,ISS-2026-004
ORD-00016,2026-02-25,CUS-005,AP-TM-118,237,2026-03-19,Shipped,정하늘,ISS-2026-001
ORD-00017,2025-12-23,CUS-001,AP-WH-220,5823,2026-01-02,Shipped,정하늘,ISS-2025-008
ORD-00018,2025-10-16,CUS-005,AP-CB-510,3998,2025-11-05,Confirmed,박서연,ISS-2026-006
ORD-00019,2026-03-17,CUS-002,AP-RL-450,1782,2026-04-17,Shipped,정하늘,
ORD-00020,2026-01-24,CUS-001,AP-WH-220,5814,2026-03-02,Confirmed,박서연,ISS-2026-007
ORD-00021,2026-04-18,CUS-001,AP-WH-220,5804,2026-06-01,Delayed,박서연,ISS-2025-008
ORD-00022,2026-03-28,CUS-003,AP-SC-330,4468,2026-04-12,Closed,정하늘,ISS-2025-011
ORD-00023,2025-06-07,CUS-005,AP-CB-510,1673,2025-07-15,Closed,정하늘,ISS-2025-009
ORD-00024,2025-06-11,CUS-003,AP-CB-510,5139,2025-07-07,Shipped,이민재,ISS-2025-010
ORD-00025,2026-02-05,CUS-003,AP-CB-510,1548,2026-02-18,Confirmed,박서연,ISS-2025-010
ORD-00026,2025-09-19,CUS-004,AP-RL-450,2559,2025-10-02,Closed,이민재,ISS-2025-012
ORD-00027,2026-05-21,CUS-004,AP-RL-450,2506,2026-06-01,Shipped,이민재,ISS-2025-007
ORD-00028,2026-04-07,CUS-004,AP-RL-450,2170,2026-05-01,Shipped,박서연,ISS-2025-007
ORD-00029,2026-03-28,CUS-003,AP-SC-330,5989,2026-05-02,Shipped,이민재,ISS-2026-003
ORD-00030,2025-12-18,CUS-005,AP-CB-510,2190,2026-01-23,Confirmed,이민재,ISS-2026-006
ORD-00031,2025-09-06,CUS-002,AP-CN-204,1339,2025-10-21,Closed,정하늘,ISS-2025-006
ORD-00032,2025-06-08,CUS-002,AP-CN-204,3663,2025-06-24,Closed,정하늘,ISS-2026-008
ORD-00033,2026-02-15,CUS-004,AP-RL-450,2878,2026-03-19,Delayed,박서연,ISS-2025-007
ORD-00034,2025-08-10,CUS-002,AP-CN-204,5723,2025-08-31,Shipped,이민재,ISS-2025-006
ORD-00035,2026-05-13,CUS-001,AP-TM-118,2872,2026-06-01,Confirmed,정하늘,ISS-2026-002
ORD-00036,2026-02-02,CUS-005,AP-CB-510,2968,2026-02-20,Delayed,박서연,ISS-2025-009
ORD-00037,2025-06-08,CUS-001,AP-CN-204,2585,2025-06-15,Closed,정하늘,
ORD-00038,2026-05-24,CUS-005,AP-CB-510,1696,2026-06-01,Shipped,정하늘,ISS-2025-009
ORD-00039,2026-04-01,CUS-002,AP-CN-204,5477,2026-04-20,Delayed,정하늘,ISS-2026-008
ORD-00040,2025-08-06,CUS-003,AP-SC-330,4415,2025-09-13,Closed,정하늘,ISS-2025-014
ORD-00041,2026-01-15,CUS-002,AP-CN-204,5795,2026-01-24,Confirmed,정하늘,ISS-2026-008
ORD-00042,2026-01-28,CUS-004,AP-CN-204,5579,2026-02-21,Confirmed,박서연,ISS-2026-009
ORD-00043,2026-03-03,CUS-001,AP-WH-220,4665,2026-03-20,Shipped,정하늘,
ORD-00044,2026-01-31,CUS-002,AP-CN-204,3021,2026-02-21,Confirmed,정하늘,ISS-2026-004
ORD-00045,2025-10-13,CUS-003,AP-SC-330,5236,2025-11-19,Delayed,박서연,ISS-2025-014
ORD-00046,2026-01-23,CUS-005,AP-CB-510,5657,2026-02-21,Confirmed,정하늘,ISS-2025-009
ORD-00047,2026-02-26,CUS-003,AP-SC-330,4702,2026-04-03,Closed,정하늘,ISS-2026-003
