id,name,email,role,created_at,updated_at
USER-001,김도윤,doyun.kim@autopartsone.kr,운영총괄,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-002,박서연,seoyeon.park@autopartsone.kr,선임 매니저,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-003,이민재,minjae.lee@autopartsone.kr,매니저,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-004,정하늘,haneul.jung@autopartsone.kr,매니저,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-005,최유진,yujin.choi@autopartsone.kr,구매 리드,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-006,강민호,minho.kang@autopartsone.kr,구매 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-007,오세진,sejin.oh@autopartsone.kr,구매 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-008,한지우,jiwoo.han@autopartsone.kr,품질 리드,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-009,송태현,taehyun.song@autopartsone.kr,품질 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-010,배수민,sumin.bae@autopartsone.kr,품질 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-011,윤예린,yerin.yoon@autopartsone.kr,물류 리드,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-012,권재윤,jaeyoon.kwon@autopartsone.kr,물류 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-013,문태준,taejun.moon@autopartsone.kr,물류 담당,2026-06-01T09:00:00,2026-06-01T09:00:00
USER-014,시스템 관리자,admin@autopartsone.kr,시스템 관리자,2026-06-01T09:00:00,2026-06-01T09:00:00
